MES,BASURA,COD_DISTRITO,DISTRITO,TOTAL_KG_MUEBLES,MUEBLES,TOTAL_ENVASES,ENVASES,TOTAL_PAPEL_Y_CARTON,PAPEL_Y_CARTON,REPOSICION_BOLSAS_CANINAS,BOLSAS_CANINAS
JUNIO,Basura,9,MONCLOA,67.26,Mueble,240,Envase,12.68,Papel_y_Carton,250,Bolsas_caninas
JUNIO,Basura,10,LATINA,159.02,Mueble,1.52,Envase,16.88,Papel_y_Carton,358.2,Bolsas_caninas
JUNIO,Basura,15,CIUDAD LINEAL,120.57,Mueble,40,Envase,26.74,Papel_y_Carton,525.4,Bolsas_caninas
JUNIO,Basura,16,HORTALEZA,158.04,Mueble,70,Envase,38.99,Papel_y_Carton,481.5,Bolsas_caninas
JUNIO,Basura,20,SAN BLAS,124.275,Mueble,60,Envase,28.96,Papel_y_Carton,485.8,Bolsas_caninas
JUNIO,Basura,21,BARAJAS,76.591,Mueble,50,Envase,16.71,Papel_y_Carton,411,Bolsas_caninas
JUNIO,Basura,13,PUENTE DE VALLECAS ,60.319,Mueble,280,Envase,4.557,Papel_y_Carton,587.1,Bolsas_caninas
JUNIO,Basura,18,VILLA DE VALLECAS ,25.852,Mueble,120,Envase,1.953,Papel_y_Carton,274.5,Bolsas_caninas
JUNIO,Basura,14,MORATALAZ,68.936,Mueble,140,Envase,5.208,Papel_y_Carton,282,Bolsas_caninas
JUNIO,Basura,19,VICÁLVARO,17.233,Mueble,60,Envase,1.302,Papel_y_Carton,205.6,Bolsas_caninas
JUNIO,Basura,11,CARABANCHEL,272.443,Mueble,56,Envase,31.024,Papel_y_Carton,481.6,Bolsas_caninas
JUNIO,Basura,12,USERA,170.277,Mueble,35,Envase,19.39,Papel_y_Carton,288.7,Bolsas_caninas
JUNIO,Basura,17,VILLAVERDE,238.388,Mueble,49,Envase,27.146,Papel_y_Carton,308.3,Bolsas_caninas
JULIO,Basura,1,CENTRO ,41.14,Mueble,47.8,Envase,3.12,Papel_y_Carton,875.3,Bolsas_caninas
JULIO,Basura,6,TETUÁN,110.28,Mueble,520,Envase,7.76,Papel_y_Carton,461,Bolsas_caninas
JULIO,Basura,7,CHAMBERÍ,69.08,Mueble,200,Envase,4.26,Papel_y_Carton,395.5,Bolsas_caninas
JULIO,Basura,2,ARGANZUELA,33.34,Mueble,0,Envase,960,Papel_y_Carton,375.1,Bolsas_caninas
JULIO,Basura,3,RETIRO,60.5,Mueble,0,Envase,24.32,Papel_y_Carton,352,Bolsas_caninas
JULIO,Basura,4,SALAMANCA,45.02,Mueble,5.2,Envase,6.26,Papel_y_Carton,389.1,Bolsas_caninas
JULIO,Basura,5,CHAMARTÍN,53.8,Mueble,0,Envase,21.08,Papel_y_Carton,404.4,Bolsas_caninas
JULIO,Basura,8,FUENCARRAL,129.34,Mueble,0,Envase,21.88,Papel_y_Carton,352.3,Bolsas_caninas
JULIO,Basura,9,MONCLOA,77.92,Mueble,480,Envase,18.32,Papel_y_Carton,251,Bolsas_caninas
JULIO,Basura,10,LATINA,182.28,Mueble,480,Envase,10.94,Papel_y_Carton,342.5,Bolsas_caninas
JULIO,Basura,15,CIUDAD LINEAL,94.985,Mueble,20,Envase,19.483,Papel_y_Carton,525.4,Bolsas_caninas
JULIO,Basura,16,HORTALEZA,105.539,Mueble,60,Envase,21.648,Papel_y_Carton,481.5,Bolsas_caninas
JULIO,Basura,20,SAN BLAS,80.914,Mueble,40,Envase,16.597,Papel_y_Carton,485.8,Bolsas_caninas
JULIO,Basura,21,BARAJAS,70.36,Mueble,40,Envase,14.432,Papel_y_Carton,411,Bolsas_caninas
JULIO,Basura,13,PUENTE DE VALLECAS ,71.351,Mueble,0,Envase,13.428,Papel_y_Carton,587.1,Bolsas_caninas
JULIO,Basura,18,VILLA DE VALLECAS ,30.579,Mueble,0,Envase,5.052,Papel_y_Carton,284.9,Bolsas_caninas
JULIO,Basura,14,MORATALAZ,81.544,Mueble,0,Envase,13.472,Papel_y_Carton,214.1,Bolsas_caninas
JULIO,Basura,19,VICÁLVARO,20.386,Mueble,0,Envase,3.368,Papel_y_Carton,245.3,Bolsas_caninas
JULIO,Basura,11,CARABANCHEL,259.124,Mueble,56,Envase,29.376,Papel_y_Carton,481.6,Bolsas_caninas
